"genre","start_year","average_rating","num_votes","primary_title","tconst","priority","title_type","genres","directors"
"Drama",1966,8.1,75472,"The Battle of Algiers","tt0058946",False,"movie","Drama - War","Gillo Pontecorvo"
"War",1966,8.1,75472,"The Battle of Algiers","tt0058946",False,"movie","Drama - War","Gillo Pontecorvo"
"Drama",1966,8.0,140240,"Persona","tt0060827",False,"movie","Drama - Thriller","Ingmar Bergman"
"Drama",1970,7.6,6447,"The Boys in the Band","tt0065488",False,"movie","Drama","William Friedkin"
"Comedy",1970,7.1,28261,"Catch-22","tt0065528",False,"movie","Comedy - Drama - War","Mike Nichols"
"Drama",1970,7.1,28261,"Catch-22","tt0065528",False,"movie","Comedy - Drama - War","Mike Nichols"
"War",1970,7.1,28261,"Catch-22","tt0065528",False,"movie","Comedy - Drama - War","Mike Nichols"
"Drama",1971,7.8,19786,"Johnny Got His Gun","tt0067277",True,"movie","Drama - War","Dalton Trumbo"
"War",1971,7.8,19786,"Johnny Got His Gun","tt0067277",True,"movie","Drama - War","Dalton Trumbo"
"Drama",1971,6.9,7851,"Sunday Bloody Sunday","tt0067805",False,"movie","Drama","John Schlesinger"
"Comedy",1973,8.2,299892,"The Sting","tt0070735",False,"movie","Comedy - Crime - Drama","George Roy Hill"
"Comedy",1973,7.4,105208,"American Graffiti","tt0069704",False,"movie","Comedy - Drama","George Lucas"
"Drama",1973,7.4,105208,"American Graffiti","tt0069704",False,"movie","Comedy - Drama","George Lucas"
"Crime",1973,7.8,52741,"The Day of the Jackal","tt0069947",True,"movie","Crime - Drama - Thriller","Fred Zinnemann"
"Drama",1973,7.8,52741,"The Day of the Jackal","tt0069947",True,"movie","Crime - Drama - Thriller","Fred Zinnemann"
"Thriller",1973,7.8,52741,"The Day of the Jackal","tt0069947",True,"movie","Crime - Drama - Thriller","Fred Zinnemann"
"Crime",1973,7.2,127899,"Mean Streets","tt0070379",False,"movie","Crime - Drama - Thriller","Martin Scorsese"
"Drama",1973,7.2,127899,"Mean Streets","tt0070379",False,"movie","Crime - Drama - Thriller","Martin Scorsese"
"Thriller",1973,7.2,127899,"Mean Streets","tt0070379",False,"movie","Crime - Drama - Thriller","Martin Scorsese"
"Crime",1973,8.2,299892,"The Sting","tt0070735",False,"movie","Comedy - Crime - Drama","George Roy Hill"
"Drama",1973,8.2,299892,"The Sting","tt0070735",False,"movie","Comedy - Crime - Drama","George Roy Hill"
"Adventure",1973,7.7,52316,"The Holy Mountain","tt0071615",True,"movie","Adventure - Drama - Fantasy","Alejandro Jodorowsky"
"Drama",1973,7.7,52316,"The Holy Mountain","tt0071615",True,"movie","Adventure - Drama - Fantasy","Alejandro Jodorowsky"
