"tconst","start_year","average_rating","num_votes","primary_title","priority","title_type","genres","directors"
"tt22399738",2024,5.5,1982,"Sweet Dreams",False,"movie","Comedy - Drama - Sport","Lije Sarki"
"tt21962590",2024,6.5,3057,"Joko Anwar's Nightmares and Daydreams",False,"tvSeries","Drama - Horror - Mystery","Joko Anwar - Randolph Zaini - Ray Farandy Pakpahan - Tommy Dewo"
"tt21434318",2024,5.6,4933,"The Underdoggs",False,"movie","Comedy - Sport","Charles Stone III"
"tt7171442",2024,6.4,1587,"Escape from the 21st Century",True,"movie","Action - Adventure - Drama","Yang Li"
"tt21265054",2024,4.7,862,"Invasion",False,"movie","Action - Thriller - War","Bobby Boermans"
"tt21247132",2024,5.8,1306,"Meanwhile on Earth",True,"movie","Adventure - Drama - Sci-Fi","Jérémy Clapin"
"tt21188080",2024,6.1,32083,"Lisa Frankenstein",True,"movie","Comedy - Horror - Romance","Zelda Williams"
"tt2049403",2024,6.6,173254,"Beetlejuice Beetlejuice",False,"movie","Comedy - Fantasy - Horror","Tim Burton"
"tt20258220",2024,3.7,6672,"Angels Fallen: Warriors of Peace",False,"movie","Action - Adventure - Fantasy","Ali Zamani"
"tt20112600",2024,5.8,6022,"Race for Glory: Audi vs. Lancia",True,"movie","Biography - Drama - Sport","Stefano Mordini"
"tt19734104",2024,6.8,6095,"Exploding Kittens",False,"tvSeries","Animation - Comedy","Eddie Rosas - Joel Moser - Scott Bern - Traci Honda"
"tt19637052",2024,6.6,63784,"Love Lies Bleeding",False,"movie","Crime - Drama - Mystery","Rose Glass"
"tt19395018",2024,6.7,21911,"Constellation",True,"tvSeries","Sci-Fi - Thriller","Joseph Cedar - Oliver Hirschbiegel - Michelle MacLaren"
"tt14539740",2024,6.0,134268,"Godzilla x Kong: The New Empire",False,"movie","Action - Adventure - Fantasy","Adam Wingard"
"tt19356262",2024,5.4,28269,"Drive-Away Dolls",True,"movie","Action - Comedy - Thriller","Ethan Coen"
"tt7884368",2024,5.3,2339,"Destroy All Neighbors",False,"movie","Comedy - Horror","Josh Forbes"
"tt19231492",2024,7.6,73552,"Dark Matter",False,"tvSeries","Drama - Sci-Fi - Thriller","Alik Sakharov - Roxann Dawson - Gwyneth Horder-Payton - Guillermo Navarro - Charlotte Sieling - Jakob Verbruggen - Amit Gupta - Nick Murphy - Celine Held - Logan George"
"tt17632862",2024,7.5,29832,"The Brothers Sun",False,"tvSeries","Action - Comedy - Drama","Viet Nguyen - Kevin Tancharoen"
"tt17044106",2024,5.5,39,"Teacher's Pet",False,"movie","Animation","Gary Baseman - Alana Avallone"
"tt16418808",2024,7.4,42777,"Sugar",False,"tvSeries","Action - Crime - Drama","Adam Arkin - Fernando Meirelles"
"tt11821912",2024,6.0,23433,"Devara Part 1",True,"movie","Action - Adventure - Drama","Koratala Siva"
"tt16274700",2024,4.2,31,"The Greatest Surf Movie in the Universe",True,"movie","Animation - Comedy","Vaughan Blakey - Nick Pollet"
"tt14415204",2024,5.4,18846,"Never Let Go",False,"movie","Horror - Mystery - Thriller","Alexandre Aja"
"tt12276028",2024,4.8,1712,"Krazy House",True,"movie","Comedy - Horror","Steffen Haars - Flip Van der Kuil"
"tt12349832",2024,5.7,33824,"Cuckoo",False,"movie","Horror - Mystery - Thriller","Tilman Singer"
"tt15314262",2024,6.3,179027,"The Beekeeper",False,"movie","Action - Crime - Thriller","David Ayer"
